nohup: 忽略输入
1456237326 2809.3 22.46
1456237327 2809.21 22.46
1456237328 2809.0 22.46
1456237329 2809.0 22.46
1456237330 2808.95 22.46
1456237331 2808.96 22.46
1456237332 2808.62 22.46
1456237333 2808.89 22.46
1456237334 2808.6 22.46
1456237335 2808.91 22.46
1456237336 2808.72 22.46
1456237336 2808.54 22.46
1456237337 2808.53 22.46
1456237338 2808.08 22.46
1456237339 2808.44 22.46
1456237340 2808.27 22.46
1456237341 2808.26 22.46
1456237343 2808.0 22.46
1456237343 2807.51 22.46
1456237344 2807.63 22.46
1456237345 2807.67 22.46
1456237346 2807.76 22.46
1456237347 2807.0 22.46
1456237348 2807.44 22.46
1456237349 2807.56 22.46
1456237350 2807.54 22.45
1456237351 2807.42 22.45
1456237352 2807.48 22.45
1456237352 2807.41 22.45
1456237353 2807.56 22.45
1456237354 2807.4 22.45
1456237355 2807.75 22.45
1456237356 2807.54 22.45
1456237357 2807.43 22.45
1456237358 2807.42 22.45
1456237359 2807.53 22.45
1456237360 2806.77 22.45
1456237361 2807.55 22.45
1456237362 2807.59 22.45
1456237362 2807.7 22.45
1456237363 2807.41 22.45
1456237364 2807.55 22.45
1456237365 2807.35 22.45
1456237366 2807.6 22.45
1456237367 2807.6 22.45
1456237368 2807.52 22.45
1456237369 2807.98 22.45
1456237370 2807.98 22.45
1456237371 2807.0 22.45
1456237372 2807.0 22.45
1456237373 2807.5 22.45
1456237373 2807.5 22.45
1456237374 2807.3 22.45
1456237375 2807.3 22.45
1456237376 2807.33 22.45
1456237377 2807.33 22.45
1456237378 2807.33 22.45
1456237379 2807.33 22.45
1456237380 2807.4 22.45
1456237381 2807.4 22.45
1456237382 2807.4 22.44
1456237383 2807.4 22.44
1456237383 2807.22 22.44
1456237384 2807.22 22.44
1456237385 2807.18 22.44
1456237386 2807.35 22.44
1456237387 2807.08 22.44
1456237388 2807.08 22.44
1456237389 2807.0 22.44
1456237390 2807.0 22.44
1456237391 2806.91 22.44
1456237392 2806.91 22.44
1456237392 2806.99 22.45
1456237393 2806.87 22.45
1456237394 2806.87 22.45
1456237395 2806.78 22.45
1456237396 2806.73 22.45
1456237397 2806.6 22.45
1456237398 2806.64 22.45
1456237399 2806.72 22.45
1456237400 2806.72 22.45
1456237401 2806.67 22.45
1456237401 2806.3 22.45
1456237402 2806.91 22.45
1456237403 2806.89 22.45
1456237404 2806.81 22.45
1456237405 2806.81 22.45
1456237406 2806.89 22.45
1456237407 2806.9 22.45
1456237408 2806.95 22.45
1456237409 2806.95 22.45
1456237410 2806.49 22.45
1456237411 2806.62 22.45
1456237411 2806.62 22.45
1456237412 2806.49 22.45
1456237413 2806.95 22.45
1456237414 2806.95 22.45
1456237415 2806.95 22.45
1456237416 2806.97 22.45
1456237417 2806.97 22.45
1456237418 2807.0 22.45
1456237419 2807.0 22.45
1456237420 2806.98 22.45
1456237421 2807.61 22.45
1456237422 2807.64 22.45
1456237422 2808.0 22.45
1456237423 2808.0 22.45
1456237424 2808.0 22.45
1456237425 2807.66 22.45
1456237426 2808.0 22.45
1456237427 2807.81 22.45
1456237428 2807.74 22.45
1456237429 2807.94 22.45
1456237430 2807.75 22.45
1456237431 2807.75 22.46
1456237432 2808.0 22.45
1456237433 2807.98 22.44
1456237434 2808.15 22.45
1456237434 2808.15 22.45
1456237435 2808.43 22.45
1456237436 2808.78 22.45
1456237437 2808.76 22.45
1456237438 2808.76 22.45
1456237439 2809.08 22.46
1456237440 2809.31 22.46
1456237441 2809.36 22.46
1456237442 2808.76 22.46
1456237443 2808.48 22.46
1456237444 2808.52 22.47
1456237445 2808.72 22.47
1456237445 2808.91 22.47
1456237446 2808.99 22.47
1456237447 2807.99 22.47
1456237448 2807.99 22.47
1456237449 2807.9 22.47
1456237450 2807.9 22.47
1456237451 2807.6 22.47
1456237452 2807.65 22.47
1456237453 2807.21 22.47
1456237454 2806.98 22.47
1456237454 2807.87 22.46
1456237455 2807.87 22.46
1456237456 2807.87 22.46
1456237457 2807.66 22.46
1456237458 2807.58 22.46
1456237459 2807.62 22.46
1456237460 2807.61 22.46
1456237461 2807.8 22.46
1456237462 2807.95 22.46
1456237463 2808.09 22.46
1456237464 2808.31 22.46
1456237465 2808.42 22.46
1456237466 2808.45 22.46
1456237467 2808.49 22.46
1456237468 2808.48 22.46
1456237468 2808.59 22.46
1456237469 2808.69 22.46
1456237470 2808.47 22.46
1456237471 2808.62 22.46
1456237472 2808.68 22.46
1456237473 2808.95 22.46
1456237474 2808.94 22.46
1456237475 2808.69 22.46
1456237476 2808.9 22.46
1456237477 2808.9 22.46
1456237477 2808.39 22.47
1456237478 2808.27 22.47
1456237479 2808.21 22.47
